,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,MLS#,LATITUDE,LONGITUDE,FILENAME,COLLECTION,NEIGHBORHOOD
16665,2018-07-09,Condo/Co-op,23308 Sesame St Unit G,Torrance,CA,90502.0,320000,2.0,2.0,829.0,296172.0,1973.0,577.0,386.0,300.0,SB18123196,33.812395,-118.288634,torrance_condos-0_to_500K.csv,2,Torrance
16740,2019-05-22,Condo/Co-op,23310 Western Ave Unit C,Harbor City,CA,90710.0,408000,2.0,1.5,1075.0,165447.0,1973.0,260.0,380.0,325.0,PV19079251,33.813528000000005,-118.308168,torrance_condos-0_to_500K.csv,2,Torrance
6890,2019-05-22,Condo/Co-op,23310 Western Ave Unit C,Harbor City,CA,90710.0,408000,2.0,1.5,1075.0,165447.0,1973.0,248.0,380.0,325.0,PV19079251,33.813528000000005,-118.308168,harbor-city_0_to_3_beds.csv,1,Harbor City
16758,2018-11-27,Condo/Co-op,23312 Marigold Ave Unit T102,Torrance,CA,90502.0,409000,3.0,2.0,1066.0,209768.0,1973.0,436.0,384.0,359.0,SB18208392,33.813744,-118.2949,torrance_condos-0_to_500K.csv,2,Torrance
10535,2018-11-27,Condo/Co-op,23312 Marigold Ave Unit T102,Torrance,CA,90502.0,409000,3.0,2.0,1066.0,209768.0,1973.0,424.0,384.0,359.0,SB18208392,33.813744,-118.2949,carson_condos.csv,1,Carson
10653,2019-07-09,Condo/Co-op,23312 Marigold Ave Unit T203,Torrance,CA,90502.0,405000,3.0,2.0,1066.0,209768.0,1973.0,200.0,380.0,359.0,SB19109502,33.813744,-118.2949,carson_condos.csv,1,Carson
16527,2019-07-09,Condo/Co-op,23312 Marigold Ave Unit T203,Torrance,CA,90502.0,405000,3.0,2.0,1066.0,209768.0,1973.0,212.0,380.0,359.0,SB19109502,33.813744,-118.2949,torrance_condos-0_to_500K.csv,2,Torrance
16487,2018-10-02,Condo/Co-op,23314 Marigold Ave Unit S101,Torrance,CA,90502.0,425000,3.0,2.0,1066.0,209768.0,1973.0,492.0,399.0,359.0,CV18200162,33.813744,-118.2949,torrance_condos-0_to_500K.csv,2,Torrance
10684,2018-10-02,Condo/Co-op,23314 Marigold Ave Unit S101,Torrance,CA,90502.0,425000,3.0,2.0,1066.0,209768.0,1973.0,480.0,399.0,359.0,CV18200162,33.813744,-118.2949,carson_condos.csv,1,Carson
16494,2019-04-03,Condo/Co-op,23314 Marigold Ave Unit S102,Torrance,CA,90502.0,425000,3.0,2.0,1066.0,209768.0,1973.0,309.0,399.0,359.0,PI18280233,33.813744,-118.2949,torrance_condos-0_to_500K.csv,2,Torrance
10708,2019-04-03,Condo/Co-op,23314 Marigold Ave Unit S102,Torrance,CA,90502.0,425000,3.0,2.0,1066.0,209768.0,1973.0,297.0,399.0,359.0,PI18280233,33.813744,-118.2949,carson_condos.csv,1,Carson
16503,2019-04-12,Condo/Co-op,23314 Marigold Ave Unit S103,Torrance,CA,90502.0,415000,3.0,2.0,1066.0,209768.0,1973.0,300.0,389.0,359.0,PV18203445,33.813744,-118.2949,torrance_condos-0_to_500K.csv,2,Torrance
10680,2019-04-12,Condo/Co-op,23314 Marigold Ave Unit S103,Torrance,CA,90502.0,415000,3.0,2.0,1066.0,209768.0,1973.0,288.0,389.0,359.0,PV18203445,33.813744,-118.2949,carson_condos.csv,1,Carson
16706,2019-05-29,Condo/Co-op,23314 Marigold Ave Unit S201,Torrance,CA,90502.0,397000,3.0,2.0,1066.0,209768.0,1973.0,253.0,372.0,359.0,PV19075771,33.813744,-118.2949,torrance_condos-0_to_500K.csv,2,Torrance
10552,2019-05-29,Condo/Co-op,23314 Marigold Ave Unit S201,Torrance,CA,90502.0,397000,3.0,2.0,1066.0,209768.0,1973.0,241.0,372.0,359.0,PV19075771,33.813744,-118.2949,carson_condos.csv,1,Carson
16710,2019-07-05,Condo/Co-op,23314 Marigold Ave Unit S202,Torrance,CA,90502.0,412000,3.0,2.0,1066.0,209768.0,1973.0,216.0,386.0,359.0,PV19107637,33.813744,-118.2949,torrance_condos-0_to_500K.csv,2,Torrance
10556,2019-07-05,Condo/Co-op,23314 Marigold Ave Unit S202,Torrance,CA,90502.0,412000,3.0,2.0,1066.0,209768.0,1973.0,204.0,386.0,359.0,PV19107637,33.813744,-118.2949,carson_condos.csv,1,Carson
6827,2018-11-14,Condo/Co-op,23314 S Western Ave Unit D,Harbor City,CA,90710.0,420000,3.0,1.75,988.0,165453.0,1973.0,437.0,425.0,300.0,SB18245170,33.813528000000005,-118.308168,harbor-city_0_to_3_beds.csv,1,Harbor City
16741,2018-11-14,Condo/Co-op,23314 S Western Ave Unit D,Harbor City,CA,90710.0,420000,3.0,1.75,988.0,165453.0,1973.0,449.0,425.0,300.0,SB18245170,33.813528000000005,-118.308168,torrance_condos-0_to_500K.csv,2,Torrance
16658,2018-09-26,Condo/Co-op,23314 Sesame St Unit B,Torrance,CA,90502.0,285000,1.0,1.0,730.0,65254.0,1973.0,498.0,390.0,275.0,PW18190831,33.8132201,-118.2885699,torrance_condos-0_to_500K.csv,2,Torrance
10629,2018-09-26,Condo/Co-op,23314 Sesame St Unit B,Torrance,CA,90502.0,285000,1.0,1.0,730.0,65254.0,1973.0,486.0,390.0,275.0,PW18190831,33.8132201,-118.2885699,carson_condos.csv,1,Carson
