SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,PRICE,ZIP OR POSTAL CODE,BEDS,BATHS,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,MLS#,LATITUDE,LONGITUDE,NEIGHBORHOOD
2019-03-11,Single Family Residential,13315 S Wilton Pl,Gardena,550000,90249,3.0,1.5,1291.0,5103.0,1956,320.0,426.0,0.0,19-421658,33.910724200000004,-118.3143,Gardena
2018-03-20,Single Family Residential,13717 Arcturus Ave,Gardena,525000,90249,3.0,2.0,1291.0,5299.0,1956,676.0,407.0,0.0,PW18022388,33.90659470000001,-118.3216978,Gardena
2019-08-20,Single Family Residential,14801 Daphne Ave,Gardena,570000,90249,3.0,1.0,1193.0,5500.0,1946,158.0,478.0,0.0,SB19144403,33.897324600000005,-118.3198255,Gardena
2019-10-28,Single Family Residential,14612 Van Ness Ave,Gardena,575000,90249,3.0,2.0,1598.0,5616.0,1952,89.0,360.0,0.0,19-483332,33.898775799999996,-118.3175423,Gardena
2019-11-26,Single Family Residential,13901 Purche Ave,Gardena,655000,90249,3.0,2.0,1291.0,5530.0,1957,60.0,507.0,0.0,SB19245139,33.9053973,-118.3208758,Gardena
2020-01-14,Single Family Residential,13107 Haas Ave,Gardena,530000,90249,3.0,1.5,1476.0,5609.0,1955,11.0,359.0,0.0,SB19172585,33.913457799999996,-118.31699429999999,Gardena
2020-01-17,Single Family Residential,2819 W 144Th St,Gardena,717000,90249,3.0,2.0,1702.0,5683.0,1953,8.0,421.0,0.0,IN19276811,33.900799799999994,-118.32484860000001,Gardena
2019-09-30,Single Family Residential,2122 145Th St,Gardena,553000,90249,3.0,1.0,1069.0,5408.0,1951,117.0,517.0,0.0,PW19106267,33.899918400000004,-118.31641670000002,Gardena
2019-09-06,Single Family Residential,15404 S Wilton Pl,Gardena,620000,90249,3.0,2.0,1786.0,5608.0,1952,141.0,347.0,0.0,RS19066522,33.8911456,-118.3140717,Gardena
2019-10-01,Single Family Residential,2016 W 145Th St,Gardena,558500,90249,2.0,1.0,831.0,5357.0,1951,116.0,672.0,0.0,DW19202733,33.8999467,-118.3141818,Gardena
2019-11-07,Single Family Residential,1932 W 134Th Pl,Gardena,675000,90249,3.0,2.0,1610.0,5607.0,1956,79.0,419.0,0.0,PW19228790,33.9095547,-118.3128843,Gardena
2019-11-14,Single Family Residential,12924 S Gramercy Pl,Gardena,560000,90249,3.0,2.0,1120.0,5305.0,1955,72.0,500.0,0.0,SB19187535,33.914643299999994,-118.3128843,Gardena
2019-12-06,Single Family Residential,1706 W 144Th St,Gardena,425000,90247,2.0,1.0,768.0,5548.0,1949,50.0,553.0,0.0,19-492246,33.900818900000004,-118.30714099999999,Gardena
2019-12-24,Single Family Residential,2631 Manhattan Bch,Gardena,705000,90249,3.0,1.5,1636.0,6000.0,1942,32.0,431.0,0.0,19-512838,33.8876308,-118.323022,Gardena
2019-12-17,Single Family Residential,13442 S Budlong Ave,Gardena,335000,90247,3.0,1.0,1080.0,5601.0,1947,39.0,310.0,0.0,17-261962,33.9097056,-118.29633659999999,Gardena
2020-01-03,Single Family Residential,1843 W 152Nd St,Gardena,440000,90249,2.0,1.0,682.0,6880.0,1941,22.0,645.0,0.0,19-533830,33.8938877,-118.31074939999999,Gardena
2020-01-16,Single Family Residential,15213 Purche Ave,Gardena,625000,90249,3.0,1.75,1024.0,5350.0,1940,9.0,610.0,0.0,SB19259942,33.893370000000004,-118.3207388,Gardena
2020-01-16,Single Family Residential,13003 S Wilkie Ave,Gardena,672900,90249,4.0,2.0,1579.0,5293.0,1955,9.0,426.0,0.0,DW19278458,33.9145811,-118.3232503,Gardena
2018-03-30,Single Family Residential,14413 Cobblestone Ln,Gardena,535000,90247,3.0,4.0,1911.0,4476.0,2005,666.0,280.0,137.0,18-309098,33.900358600000004,-118.2980335,Gardena
2019-11-07,Single Family Residential,1041 W 133Rd St,Gardena,576000,90247,3.0,1.0,1056.0,5586.0,1947,79.0,545.0,0.0,WS19224489,33.9120527,-118.29338359999998,Gardena
