,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,MLS#,LATITUDE,LONGITUDE,FILENAME,COLLECTION,NEIGHBORHOOD
4997,2018-03-09,Single Family Residential,10930 Acacia Ave,Inglewood,CA,90304.0,325000,1.0,1.0,400.0,5993.0,1940.0,684.0,813.0,0.0,OC18053793,33.9362786,-118.3512513,lennox.csv,1,Lennox
933,2018-03-09,Single Family Residential,10930 Acacia Ave,Inglewood,CA,90304.0,325000,1.0,1.0,400.0,5993.0,1940.0,684.0,813.0,0.0,OC18053793,33.9362786,-118.3512513,inglewood_03_sfh_2_beds_or_less.csv,1,Inglewood
15090,2019-09-06,Townhouse,110 S Prospect Ave #4,Redondo Beach,CA,90277.0,890000,3.0,2.5,1808.0,12893.0,1988.0,153.0,492.0,362.0,SB19167078,33.8418783,-118.3760364,redondo_townhome-3-beds.csv,2,Redondo Beach
13127,2019-09-06,Townhouse,110 S Prospect Ave #4,Redondo Beach,CA,90277.0,890000,3.0,2.5,1808.0,12893.0,1988.0,153.0,492.0,362.0,SB19167078,33.8418783,-118.3760364,torrance_townhome-600K_plus.csv,2,Torrance
15264,2019-07-10,Townhouse,110 S Prospect Ave #6,Redondo Beach,CA,90277.0,900000,3.0,2.5,1808.0,12893.0,1988.0,211.0,498.0,362.0,SB19083947,33.8418783,-118.3760364,redondo_townhome-3-beds.csv,2,Redondo Beach
12869,2019-07-10,Townhouse,110 S Prospect Ave #6,Redondo Beach,CA,90277.0,900000,3.0,2.5,1808.0,12893.0,1988.0,211.0,498.0,362.0,SB19083947,33.8418783,-118.3760364,torrance_townhome-600K_plus.csv,2,Torrance
924,2018-07-31,Single Family Residential,11002 S Truro Ave,Lennox,CA,90304.0,525000,2.0,1.0,1150.0,5304.0,1951.0,540.0,457.0,0.0,18-354562,33.9359097,-118.35781429999999,inglewood_03_sfh_2_beds_or_less.csv,1,Inglewood
5013,2018-07-31,Single Family Residential,11002 S Truro Ave,Lennox,CA,90304.0,525000,2.0,1.0,1150.0,5304.0,1951.0,540.0,457.0,0.0,18-354562,33.9359097,-118.35781429999999,lennox.csv,1,Lennox
5742,2019-07-18,Single Family Residential,11010 Buford Ave,Inglewood,CA,90304.0,501000,3.0,2.0,1056.0,6460.0,1926.0,188.0,474.0,0.0,DW19082030,33.9356841,-118.3632014,inglewood_04_sfh_3_beds.csv,1,Inglewood
5082,2019-07-18,Single Family Residential,11010 Buford Ave,Inglewood,CA,90304.0,501000,3.0,2.0,1056.0,6460.0,1926.0,188.0,474.0,0.0,DW19082030,33.9356841,-118.3632014,lennox.csv,1,Lennox
5012,2018-12-21,Single Family Residential,11024 S Truro Ave,Inglewood,CA,90304.0,555000,3.0,1.0,1150.0,5973.0,1953.0,397.0,483.0,0.0,DW18256786,33.935309000000004,-118.35781429999999,lennox.csv,1,Lennox
5755,2018-12-21,Single Family Residential,11024 S Truro Ave,Inglewood,CA,90304.0,555000,3.0,1.0,1150.0,5973.0,1953.0,397.0,483.0,0.0,DW18256786,33.935309000000004,-118.35781429999999,inglewood_04_sfh_3_beds.csv,1,Inglewood
954,2019-05-21,Single Family Residential,11029 Dalerose Ave,Inglewood,CA,90304.0,450000,2.0,1.0,774.0,5918.0,1939.0,246.0,581.0,0.0,SB19069928,33.9351919,-118.36040520000002,inglewood_03_sfh_2_beds_or_less.csv,1,Inglewood
5021,2019-05-21,Single Family Residential,11029 Dalerose Ave,Inglewood,CA,90304.0,450000,2.0,1.0,774.0,5918.0,1939.0,246.0,581.0,0.0,SB19069928,33.9351919,-118.36040520000002,lennox.csv,1,Lennox
11721,2018-05-07,Condo/Co-op,1108 Camino Real #402,Redondo Beach,CA,90277.0,550000,2.0,2.0,901.0,22138.0,1971.0,640.0,610.0,420.0,18-318432,33.8281301,-118.3731998,torrance_condos-500K_plus.csv,2,Torrance
17057,2018-05-07,Condo/Co-op,1108 Camino Real #402,Redondo Beach,CA,90277.0,550000,2.0,2.0,901.0,22138.0,1971.0,640.0,610.0,420.0,18-318432,33.8281301,-118.3731998,redondo_condos.csv,2,Redondo Beach
11710,2019-03-29,Condo/Co-op,1108 Camino Real #503,Redondo Beach,CA,90277.0,515000,2.0,1.75,915.0,22172.0,1971.0,314.0,563.0,430.0,IN18291253,33.8281301,-118.3731998,torrance_condos-500K_plus.csv,2,Torrance
17364,2019-03-29,Condo/Co-op,1108 Camino Real #503,Redondo Beach,CA,90277.0,515000,2.0,1.75,915.0,22172.0,1971.0,314.0,563.0,430.0,IN18291253,33.8281301,-118.3731998,redondo_condos.csv,2,Redondo Beach
12876,2019-12-09,Townhouse,111 Calle Mayor,Redondo Beach,CA,90277.0,1249000,2.0,2.25,1554.0,88003.0,1974.0,59.0,804.0,471.0,PV19244665,33.8079324,-118.3877562,torrance_townhome-600K_plus.csv,2,Torrance
18408,2019-12-09,Townhouse,111 Calle Mayor,Redondo Beach,CA,90277.0,1249000,2.0,2.25,1554.0,88003.0,1974.0,59.0,804.0,471.0,PV19244665,33.8079324,-118.3877562,redondo_townhome-0-2-beds.csv,2,Redondo Beach
